nombre,poblacion,superficie,continente
Afganistán,38928346,652230,Asia
Albania,2877797,28748,Europa
Alemania,83149300,357022,Europa
Andorra,77265,468,Europa
Angola,32866272,1246700,África
Antigua y Barbuda,97929,442,América
Arabia Saudita,34813871,2149690,Asia
Argelia,43851044,2381741,África
Argentina,45376763,2780400,América
Armenia,2963243,29743,Asia
Australia,25687041,7692024,Oceanía
Austria,9006398,83871,Europa
Azerbaiyán,10139177,86600,Asia
Bahamas,393244,13943,América
Baréin,1701575,765,Asia
Bangladesh,164689383,147570,Asia
Barbados,287375,430,América
Bielorrusia,9449323,207600,Europa
Bélgica,11555997,30528,Europa
Belice,397628,22966,América
Benín,12123200,114763,África
Bután,771608,38394,Asia
Bolivia,11673021,1098581,América
Bosnia y Herzegovina,3280819,51209,Europa
Botsuana,2351625,582000,África
Brasil,213993437,8515767,América
Brunéi,437479,5765,Asia
Bulgaria,6948445,110879,Europa
Burkina Faso,20903273,272967,África
Burundi,11890784,27834,África
Cabo Verde,555987,4033,África
Camboya,16718965,181035,Asia
Camerún,26545863,475442,África
Canadá,38654738,9984670,América
Catar,2881053,11586,Asia
Chad,16425864,1284000,África
Chile,19458000,756102,América
China,1439323776,9596961,Asia
Chipre,1207359,9251,Europa
Colombia,51265844,1141748,América
Comoras,869601,1862,África
Congo,5518087,342000,África
Corea del Norte,25778816,120538,Asia
Corea del Sur,51780579,100210,Asia
Costa de Marfil,26378274,322463,África
Costa Rica,5094118,51100,América
Croacia,4105267,56594,Europa
Cuba,11326616,109884,América
Dinamarca,5831404,43094,Europa
Dominica,71986,751,América
Ecuador,17797737,283561,América
Egipto,102334404,1002450,África
El Salvador,6486205,21041,América
Emiratos Árabes Unidos,9890402,83600,Asia
Eritrea,3546421,117600,África
Eslovaquia,5459642,49035,Europa
Eslovenia,2078938,20273,Europa
España,47351567,505990,Europa
Estados Unidos,331893745,9833517,América
Estonia,1326535,45227,Europa
Esuatini,1160164,17364,África
Etiopía,114963588,1104300,África
Filipinas,109581078,300000,Asia
Finlandia,5540720,338424,Europa
Fiyi,896445,18272,Oceanía
Francia,67391582,551695,Europa
Gabón,2225734,267668,África
Gambia,2416668,11295,África
Georgia,3989167,69700,Asia
Ghana,31072940,238533,África
Granada,112523,344,América
Grecia,10715549,131957,Europa
Guatemala,17915568,108889,América
Guinea,13132795,245857,África
Guinea-Bisáu,1968001,36125,África
Guinea Ecuatorial,1402985,28051,África
Guyana,786552,214969,América
Haití,11402528,27750,América
Honduras,9904607,112492,América
Hungría,9660351,93028,Europa
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Irak,40222493,438317,Asia
Irán,83992949,1648195,Asia
Irlanda,4937786,70273,Europa
Islandia,341243,103000,Europa
Islas Marshall,59190,181,Oceanía
Islas Salomón,686884,28896,Oceanía
Israel,8655535,22072,Asia
Italia,59554023,301338,Europa
Jamaica,2961167,10991,América
Japón,125800000,377975,Asia
Jordania,10203134,89342,Asia
Kazajistán,18776707,2724900,Asia
Kenia,53771296,580367,África
Kirguistán,6524195,199951,Asia
Kiribati,119449,811,Oceanía
Kuwait,4270571,17818,Asia
Laos,7275560,236800,Asia
Lesoto,2142249,30355,África
Letonia,1886198,64559,Europa
Líbano,6825445,10452,Asia
Liberia,5057681,111369,África
Libia,6871292,1759540,África
Liechtenstein,38128,160,Europa
Lituania,2722289,65300,Europa
Luxemburgo,625978,2586,Europa
Madagascar,27691018,587041,África
Malasia,32365999,330803,Asia
Malaui,19129952,118484,África
Maldivas,540544,300,Asia
Malí,20250833,1240192,África
Malta,441543,316,Europa
